Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Description,Ticket Status,Resolution,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,customer_query
61,40,Male,Sony 4K HDR TV,2020-11-16,Cancellation request,product setup,"im having an issue with the product_purchased please assist its time for me to update the product list

im having an issue with theproduct_purchased please assist its time for ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help",Closed,else personal leg break book nearly,Medium,Chat,2023-06-01 00:18:00,2023-06-01 11:55:00,1.0,"product setup im having an issue with the product_purchased please assist its time for me to update the product list

im having an issue with theproduct_purchased please assist its time for ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help"
62,41,Other,Lenovo ThinkPad,2021-11-21,Product inquiry,battery life,"im having an issue with the product_purchased please assist

i was able to get my 50 bag from the vendor but the bags i was wearing in the show were covered in stickers and the price for those ive tried different settings and configurations on my product_purchased but the issue persists",Pending Customer Response,,Critical,Social media,2023-06-01 01:32:02,,,"battery life im having an issue with the product_purchased please assist

i was able to get my 50 bag from the vendor but the bags i was wearing in the show were covered in stickers and the price for those ive tried different settings and configurations on my product_purchased but the issue persists"
63,64,Female,Xbox,2020-12-12,Billing inquiry,payment issue,"im having an issue with the product_purchased please assist



 

function getproductcount  ortersfunction p    this gets the count for all the items in the the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly",Closed,eye while if exist name receive,High,Email,2023-05-31 23:37:04,2023-06-01 12:41:04,4.0,"payment issue im having an issue with the product_purchased please assist



 

function getproductcount  ortersfunction p    this gets the count for all the items in the the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly"
64,57,Female,Adobe Photoshop,2020-04-24,Billing inquiry,hardware issue,"im having an issue with the product_purchased please assist

417 add a custom app icon to the app window click app manager youll see a list of all of the new apps  ive checked the device settings and made sure that everything is configured correctly",Pending Customer Response,,High,Phone,2023-06-01 07:07:05,,,"hardware issue im having an issue with the product_purchased please assist

417 add a custom app icon to the app window click app manager youll see a list of all of the new apps  ive checked the device settings and made sure that everything is configured correctly"
65,61,Male,Microsoft Xbox Controller,2021-08-02,Technical issue,product compatibility,im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond im working around this problem by switching off ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean,Open,,Medium,Phone,,,,product compatibility im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond im working around this problem by switching off ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean
66,56,Male,Apple AirPods,2021-11-11,Technical issue,battery life,"there seems to be a glitch in the product_purchased software it freezes frequently making it difficult to use can you please provide a solution

id love to do this on my own its a ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean",Pending Customer Response,,Medium,Phone,2023-05-31 22:38:07,,,"battery life there seems to be a glitch in the product_purchased software it freezes frequently making it difficult to use can you please provide a solution

id love to do this on my own its a ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean"
67,49,Female,GoPro Hero,2021-08-08,Billing inquiry,product compatibility,"ive noticed a software bug in the product_purchased app its causing data loss and unexpected errors how can i resolve this issue

a good way to resolve this software issue is to use a custom configuration file the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly",Closed,fill young add between morning commercial,High,Email,2023-06-01 05:06:08,2023-06-01 10:17:08,5.0,"product compatibility ive noticed a software bug in the product_purchased app its causing data loss and unexpected errors how can i resolve this issue

a good way to resolve this software issue is to use a custom configuration file the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly"
68,54,Male,Microsoft Office,2021-06-27,Cancellation request,peripheral compatibility,"ive accidentally deleted important data from my product_purchased is there any way to recover the deleted files i need them urgently what can i do to recover them

product purchases are never recoverable from the database im worried that the issue might be hardwarerelated and might require repair or replacement",Pending Customer Response,,Low,Phone,2023-06-01 21:04:10,,,"peripheral compatibility ive accidentally deleted important data from my product_purchased is there any way to recover the deleted files i need them urgently what can i do to recover them

product purchases are never recoverable from the database im worried that the issue might be hardwarerelated and might require repair or replacement"
69,51,Other,Adobe Photoshop,2021-02-06,Technical issue,product compatibility,"im having an issue with the product_purchased please assist if your product is purchased with the product_purchased the product_purchased will be refunded

7 pay it ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help",Pending Customer Response,,Critical,Chat,2023-05-31 23:00:12,,,"product compatibility im having an issue with the product_purchased please assist if your product is purchased with the product_purchased the product_purchased will be refunded

7 pay it ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help"
70,46,Female,Canon DSLR Camera,2020-02-13,Refund request,refund request,im unable to access my product_purchased account it keeps displaying an invalid credentials error even though im using the correct login information how can i regain access to my account if you dont im concerned about the security of my product_purchased and would like to ensure that my data is safe,Closed,answer story series imagine discover,High,Chat,2023-06-01 11:57:12,2023-05-31 22:51:12,1.0,refund request im unable to access my product_purchased account it keeps displaying an invalid credentials error even though im using the correct login information how can i regain access to my account if you dont im concerned about the security of my product_purchased and would like to ensure that my data is safe
71,27,Male,Google Pixel,2021-05-15,Cancellation request,product setup,"ive accidentally deleted important data from my product_purchased is there any way to recover the deleted files i need them urgently what about my search  files

the product_purchased is the im using the original charger that came with my product_purchased but its not charging properly",Pending Customer Response,,Medium,Chat,2023-05-31 23:49:14,,,"product setup ive accidentally deleted important data from my product_purchased is there any way to recover the deleted files i need them urgently what about my search  files

the product_purchased is the im using the original charger that came with my product_purchased but its not charging properly"
72,37,Other,iPhone,2020-09-26,Refund request,delivery problem,ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue ive tried clearing the cache and data for the product_purchased app but the issue persists,Open,,Medium,Social media,,,,delivery problem ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue ive tried clearing the cache and data for the product_purchased app but the issue persists
73,34,Female,Dyson Vacuum Cleaner,2021-02-16,Billing inquiry,display issue,im having an issue with the product_purchased please assist when i first noticed product_purchased the new price of the book was too high ive already sent out the refund request but they will ive checked for software updates and my product_purchased is already running the latest version,Closed,executive wear gun child,Low,Chat,2023-06-01 04:35:16,2023-06-01 03:17:16,4.0,display issue im having an issue with the product_purchased please assist when i first noticed product_purchased the new price of the book was too high ive already sent out the refund request but they will ive checked for software updates and my product_purchased is already running the latest version
74,36,Other,Fitbit Charge,2020-11-09,Cancellation request,payment issue,"my product_purchased is making strange noises and not functioning properly i suspect there might be a hardware issue can you please help me with this


this is a product that must fit in a box please let me ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean",Closed,finish common benefit most college,Critical,Social media,2023-06-01 21:31:17,2023-06-01 02:24:17,3.0,"payment issue my product_purchased is making strange noises and not functioning properly i suspect there might be a hardware issue can you please help me with this


this is a product that must fit in a box please let me ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean"
75,31,Female,Xbox,2021-04-16,Billing inquiry,product setup,"im having an issue with the product_purchased please assist please take care of such requests

1 mvv

2 the abovementioned is made up with specific ive checked the device settings and made sure that everything is configured correctly",Open,,Critical,Email,,,,"product setup im having an issue with the product_purchased please assist please take care of such requests

1 mvv

2 the abovementioned is made up with specific ive checked the device settings and made sure that everything is configured correctly"
76,37,Other,Roomba Robot Vacuum,2021-01-06,Product inquiry,display issue,im having an issue with the product_purchased please assist 1 it is not allowed to purchase a product from an individual or for a company in which there are no specific employees or employees and all products have to ive followed the troubleshooting steps mentioned in the user manual but the issue persists,Closed,somebody east painting tree sell rock level,Critical,Chat,2023-06-01 14:43:20,2023-06-01 02:30:20,1.0,display issue im having an issue with the product_purchased please assist 1 it is not allowed to purchase a product from an individual or for a company in which there are no specific employees or employees and all products have to ive followed the troubleshooting steps mentioned in the user manual but the issue persists
77,18,Other,iPhone,2020-06-30,Cancellation request,account access,"im having an issue with the product_purchased please assist ive got a customer who has sent me a 25 invoice i want to know if this will correct this

i just downloaded the demo and i im experiencing this issue on multiple devices of the same model so it seems to be a widespread problem",Open,,Critical,Phone,,,,"account access im having an issue with the product_purchased please assist ive got a customer who has sent me a 25 invoice i want to know if this will correct this

i just downloaded the demo and i im experiencing this issue on multiple devices of the same model so it seems to be a widespread problem"
78,63,Female,Fitbit Charge,2020-12-29,Billing inquiry,delivery problem,"im having an issue with the product_purchased please assist

product 8

4801

the product code on your product

product id  product_id ive checked the device settings and made sure that everything is configured correctly",Closed,huge value apply born,Low,Email,2023-06-01 19:16:24,2023-06-01 15:21:24,5.0,"delivery problem im having an issue with the product_purchased please assist

product 8

4801

the product code on your product

product id  product_id ive checked the device settings and made sure that everything is configured correctly"
79,55,Other,Google Pixel,2021-01-07,Billing inquiry,data loss,"im having an issue with the product_purchased please assist thank you

the customers rating and reviews are important but they dont have an impact on your credit score

for over mogul financial companies who have ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help",Pending Customer Response,,Medium,Social media,2023-06-01 16:57:26,,,"data loss im having an issue with the product_purchased please assist thank you

the customers rating and reviews are important but they dont have an impact on your credit score

for over mogul financial companies who have ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help"
80,40,Other,LG Smart TV,2020-11-03,Technical issue,software bug,"im having an issue with the product_purchased please assist

this is for the best experience and you cant use your phone while waiting for deliveries or when you pick it up

please help by posting a ive tried using different cables adapters or peripherals with my product_purchased but the issue persists",Pending Customer Response,,Critical,Chat,2023-06-01 11:27:28,,,"software bug im having an issue with the product_purchased please assist

this is for the best experience and you cant use your phone while waiting for deliveries or when you pick it up

please help by posting a ive tried using different cables adapters or peripherals with my product_purchased but the issue persists"
81,50,Other,Microsoft Office,2021-03-22,Technical issue,product recommendation,im having an issue with the product_purchased please assist im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps,Pending Customer Response,,Critical,Phone,2023-06-01 07:27:28,,,product recommendation im having an issue with the product_purchased please assist im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps
82,29,Other,Apple AirPods,2021-07-22,Cancellation request,cancellation request,im encountering a software bug in the product_purchased whenever i try to perform a specific action the application crashes are there any updates or fixes available i dont know about any updates to the product its hard im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps,Pending Customer Response,,Medium,Email,2023-06-01 11:37:29,,,cancellation request im encountering a software bug in the product_purchased whenever i try to perform a specific action the application crashes are there any updates or fixes available i dont know about any updates to the product its hard im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps
83,24,Male,PlayStation,2021-10-04,Refund request,software bug,"im having an issue with the product_purchased please assist

p

a full time customer service representative will arrive soon

p

if you would like to respond to a message ive tried different settings and configurations on my product_purchased but the issue persists",Closed,event see dinner home,Low,Social media,2023-06-01 05:40:30,2023-06-01 20:35:30,1.0,"software bug im having an issue with the product_purchased please assist

p

a full time customer service representative will arrive soon

p

if you would like to respond to a message ive tried different settings and configurations on my product_purchased but the issue persists"
84,57,Other,Autodesk AutoCAD,2021-08-11,Technical issue,installation support,"im having an issue with the product_purchased please assist your product may be available on other websites with the same keyword or your brand

thank you ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer",Pending Customer Response,,Critical,Phone,2023-06-01 00:24:32,,,"installation support im having an issue with the product_purchased please assist your product may be available on other websites with the same keyword or your brand

thank you ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer"
85,67,Other,Microsoft Surface,2021-08-02,Technical issue,hardware issue,"im facing issues logging into my product_purchased account it says my account is locked what should i do to unlock it

please log into your login browser and check to see if the account has been locked im experiencing this issue on multiple devices of the same model so it seems to be a widespread problem",Open,,Medium,Phone,,,,"hardware issue im facing issues logging into my product_purchased account it says my account is locked what should i do to unlock it

please log into your login browser and check to see if the account has been locked im experiencing this issue on multiple devices of the same model so it seems to be a widespread problem"
86,67,Female,Canon EOS,2021-01-22,Product inquiry,peripheral compatibility,"ive forgotten my password for my product_purchased account and the password reset option is not working how can i recover my account

if you have not used login tokens for the previous 12 months the login token ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem",Open,,High,Social media,,,,"peripheral compatibility ive forgotten my password for my product_purchased account and the password reset option is not working how can i recover my account

if you have not used login tokens for the previous 12 months the login token ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem"
87,46,Male,Sony PlayStation,2020-01-18,Technical issue,product recommendation,im having an issue with the product_purchased please assist    param number_item   return item if _ejection_exceeds_proposal ive noticed that the issue occurs consistently when i use a specific feature or application on my product_purchased,Closed,represent where produce suddenly,Critical,Phone,2023-06-01 18:03:35,2023-06-01 06:23:35,2.0,product recommendation im having an issue with the product_purchased please assist    param number_item   return item if _ejection_exceeds_proposal ive noticed that the issue occurs consistently when i use a specific feature or application on my product_purchased
88,55,Other,Philips Hue Lights,2020-09-10,Technical issue,delivery problem,"im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond

im using a phone now im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps",Pending Customer Response,,High,Social media,2023-06-01 19:21:36,,,"delivery problem im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond

im using a phone now im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps"
89,42,Other,Nikon D,2021-08-01,Billing inquiry,product setup,"im having an issue with the product_purchased please assist

product purchasing error product purchasing error yes  no 28  30 28  30 32  product purchasing error  product purchase error ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem",Open,,Critical,Email,,,,"product setup im having an issue with the product_purchased please assist

product purchasing error product purchasing error yes  no 28  30 28  30 32  product purchasing error  product purchase error ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem"
90,40,Male,Sony Xperia,2020-01-30,Product inquiry,product recommendation,"im having an issue with the product_purchased please assist

if your computer is connected to a power source please do not open the product_purchased please assist if your router is wired up ive already contacted customer support multiple times but the issue remains unresolved",Closed,exactly red two dog,Medium,Email,2023-05-31 23:17:40,2023-06-01 03:09:40,5.0,"product recommendation im having an issue with the product_purchased please assist

if your computer is connected to a power source please do not open the product_purchased please assist if your router is wired up ive already contacted customer support multiple times but the issue remains unresolved"
91,57,Other,Sony Xperia,2020-10-15,Refund request,software bug,ive forgotten my password for my product_purchased account and the password reset option is not working how can i recover my account  the password reset option can be enabled by using the product_purchased the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly,Pending Customer Response,,High,Phone,2023-06-01 07:15:41,,,software bug ive forgotten my password for my product_purchased account and the password reset option is not working how can i recover my account  the password reset option can be enabled by using the product_purchased the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly
92,62,Male,iPhone,2021-11-14,Product inquiry,display issue,"im having an issue with the product_purchased please assist


beware when i accidentally add a link to your product and the item you selected incorrectly you may see some data about missing items and it may require this problem started occurring after the recent software update i havent made any other changes to the device",Pending Customer Response,,Low,Email,2023-06-01 00:14:43,,,"display issue im having an issue with the product_purchased please assist


beware when i accidentally add a link to your product and the item you selected incorrectly you may see some data about missing items and it may require this problem started occurring after the recent software update i havent made any other changes to the device"
93,44,Male,Bose QuietComfort,2021-05-27,Technical issue,peripheral compatibility,"im having an issue with the product_purchased please assist

here are some additional notes about using the product in order to purchase the product


the new name of the product is used this name ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer",Pending Customer Response,,Low,Email,2023-06-01 15:57:45,,,"peripheral compatibility im having an issue with the product_purchased please assist

here are some additional notes about using the product in order to purchase the product


the new name of the product is used this name ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer"
94,32,Female,PlayStation,2021-05-24,Refund request,installation support,"im having an issue with the product_purchased please assist inapp purchases dont always match up with your new product inapp purchases are very costly

make sure you also check if your product is ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean",Open,,Low,Email,,,,"installation support im having an issue with the product_purchased please assist inapp purchases dont always match up with your new product inapp purchases are very costly

make sure you also check if your product is ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean"
95,65,Other,Microsoft Xbox Controller,2021-12-06,Product inquiry,account access,im having an issue with the product_purchased please assist name product_purchased_url httpwwwkylejunebugcomtutorialcureall ive tried troubleshooting steps mentioned in the user manual but the issue persists,Open,,Critical,Phone,,,,account access im having an issue with the product_purchased please assist name product_purchased_url httpwwwkylejunebugcomtutorialcureall ive tried troubleshooting steps mentioned in the user manual but the issue persists
96,60,Male,Autodesk AutoCAD,2021-10-02,Product inquiry,battery life,"my product_purchased crashed and i lost all the data stored on it is there any way to recover the lost data

is there any way to recover the lost data can it be done remotely from a remote ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean",Closed,series special into hour feel stuff,High,Chat,2023-06-01 00:08:49,2023-06-01 18:39:49,5.0,"battery life my product_purchased crashed and i lost all the data stored on it is there any way to recover the lost data

is there any way to recover the lost data can it be done remotely from a remote ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean"
97,18,Female,Roomba Robot Vacuum,2020-10-25,Cancellation request,battery life,im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond im thinking maybe they have a bug im concerned about the security of my product_purchased and would like to ensure that my data is safe,Open,,High,Social media,,,,battery life im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond im thinking maybe they have a bug im concerned about the security of my product_purchased and would like to ensure that my data is safe
98,22,Other,Xbox,2020-01-18,Product inquiry,delivery problem,"ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue

step 1 you need to make sure that the dns query you ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem",Pending Customer Response,,High,Email,2023-06-01 01:55:51,,,"delivery problem ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue

step 1 you need to make sure that the dns query you ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem"
99,38,Male,Samsung Galaxy,2020-09-09,Billing inquiry,refund request,im having an issue with the product_purchased please assist s3 please provide the product name location and shipping address in the product overview s3 this message will be unread for 12 seconds ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update,Closed,generation officer force test evening certain sign oil,High,Chat,2023-06-01 07:05:53,2023-06-01 14:45:53,5.0,refund request im having an issue with the product_purchased please assist s3 please provide the product name location and shipping address in the product overview s3 this message will be unread for 12 seconds ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update
100,23,Other,Samsung Soundbar,2020-05-15,Technical issue,hardware issue,"im having an issue with the product_purchased please assist

thank you for your visit ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean",Pending Customer Response,,Low,Chat,2023-06-01 15:32:53,,,"hardware issue im having an issue with the product_purchased please assist

thank you for your visit ive noticed a peculiar error message popping up on my product_purchased screen it says error_message what does it mean"
